Student,Mean_Compilation,Stdev_Compilation,Variance_Compilation,Min_Compilation,Max_Compilation,Median_Compilation
Student1,30.62,20.37,414.84,0,67,29.5
Student10,65.62,53.98,2913.41,0,171,56.0
Student11,6.0,16.97,288.0,0,48,0.0
Student12,133.88,163.57,26756.7,0,417,63.0
Student13,19.38,54.8,3003.12,0,155,0.0
Student14,1.88,5.3,28.12,0,15,0.0
Student15,40.0,52.38,2744.0,0,140,19.0
Student16,65.5,36.76,1351.43,0,114,63.5
Student17,12.25,23.86,569.36,0,64,0.0
Student18,68.12,67.56,4564.7,1,207,51.5
Student19,56.75,43.33,1877.07,0,126,43.5
Student2,2.62,4.69,21.98,0,12,0.0
Student20,79.88,125.75,15812.12,0,333,16.5
Student21,66.38,35.0,1224.84,0,103,76.0
Student22,141.75,109.75,12045.64,0,349,137.5
Student23,98.88,92.22,8505.27,0,263,75.0
Student24,137.88,89.19,7954.98,65,315,102.0
Student25,5.0,14.14,200.0,0,40,0.0
Student26,230.88,130.62,17062.7,95,444,194.0
Student27,162.12,109.64,12020.7,36,334,139.0
Student28,99.75,62.13,3860.5,30,235,85.0
Student29,59.62,72.71,5287.13,0,167,35.5
Student3,78.88,48.86,2386.98,4,143,90.0
Student30,218.62,139.92,19577.41,46,406,189.5
Student31,20.88,45.67,2085.55,0,129,0.0
Student32,75.62,91.4,8353.7,0,223,30.5
Student33,145.5,126.05,15889.14,0,405,133.5
Student34,56.75,42.62,1816.5,0,146,53.5
Student35,4.25,12.02,144.5,0,34,0.0
Student36,121.12,92.43,8542.7,13,233,110.5
Student37,56.75,71.27,5078.79,0,217,36.0
Student38,102.5,84.23,7094.29,0,253,75.0
Student39,122.12,76.48,5849.27,81,310,97.0
Student4,37.75,106.77,11400.5,0,302,0.0
Student40,107.62,72.34,5233.12,0,225,98.0
Student41,28.62,80.96,6555.13,0,229,0.0
Student42,167.25,109.36,11959.36,48,352,145.0
Student43,84.75,47.18,2225.64,41,188,76.5
Student44,51.25,48.41,2343.36,0,126,42.0
Student5,18.88,50.23,2523.27,0,143,0.0
Student6,45.75,78.92,6229.07,0,237,17.0
Student7,60.38,54.71,2993.12,17,179,35.0
Student8,66.5,40.05,1604.29,0,134,68.0
Student9,159.25,103.42,10694.79,55,364,121.5
