StudentID,Mean_Comp_Timediff,Stdev_Comp_Timediff,Variance_Comp_Timediff,Min_Comp_Timediff,Max_Comp_Timediff,Median_Comp_Timediff
Student1,517.35,712.53,507692.79,0.0,2203.48,274.06
Student10,1361.5,1285.71,1653052.15,0.0,3602.41,959.97
Student11,294.51,833.0,693888.91,0.0,2356.08,0.0
Student12,1847.52,2075.16,4306288.08,0.0,5080.11,1115.73
Student13,67.18,190.01,36103.03,0.0,537.42,0.0
Student14,5.46,15.44,238.28,0.0,43.66,0.0
Student15,2005.37,3312.5,10972684.51,0.0,9363.24,150.2
Student16,5172.49,3179.85,10111419.08,0.0,9984.34,4443.72
Student17,664.22,1833.52,3361800.58,0.0,5200.9,0.0
Student18,1588.23,1650.31,2723533.09,0.0,4227.31,1176.51
Student19,129.33,103.32,10674.53,0.0,333.51,116.39
Student2,89.87,199.22,39688.74,0.0,564.4,0.0
Student20,182.04,164.69,27124.04,0.0,477.58,138.01
Student21,2127.49,1431.67,2049687.47,0.0,3994.73,1847.05
Student22,483.7,499.13,249133.53,0.0,1380.04,366.18
Student23,692.23,657.89,432821.35,0.0,1731.98,513.59
Student24,883.75,610.63,372868.32,131.48,1612.04,894.6
Student25,13.64,38.59,1489.06,0.0,109.14,0.0
Student26,1681.07,873.22,762515.25,630.9,2958.64,1761.76
Student27,2050.97,1850.08,3422804.94,136.43,5967.1,1743.61
Student28,4341.54,1643.77,2701988.29,2710.58,7931.32,4052.8
Student29,1687.18,1972.45,3890567.94,0.0,4979.14,1177.36
Student3,3340.61,8005.33,64085228.53,128.63,23138.58,654.8
Student30,1367.17,624.68,390224.27,652.51,2555.93,1351.57
Student31,40.64,79.36,6298.66,0.0,209.74,0.0
Student32,2291.91,4450.63,19808087.5,0.0,13039.35,458.69
Student33,687.1,285.79,81675.23,0.0,906.54,759.81
Student34,2970.49,5467.25,29890769.56,0.0,16117.11,471.7
Student35,108.77,307.64,94643.24,0.0,870.14,0.0
Student36,623.27,783.71,614200.79,150.83,2473.32,302.07
Student37,676.24,1515.68,2297297.99,0.0,4402.35,89.14
Student38,701.33,735.19,540501.5,0.0,1680.19,296.12
Student39,2547.37,1609.83,2591545.29,869.06,5954.29,2312.72
Student4,78.09,220.88,48788.48,0.0,624.75,0.0
Student40,1466.64,742.16,550803.01,0.0,2179.42,1762.39
Student41,5.12,14.47,209.36,0.0,40.92,0.0
Student42,699.9,575.84,331590.95,60.34,1585.35,470.66
Student43,1301.35,726.82,528262.3,187.64,2161.26,1376.58
Student44,2656.99,3671.46,13479614.94,0.0,10770.62,1335.75
Student5,8730.41,22090.84,488005401.63,0.0,63088.61,0.0
Student6,484.39,617.04,380733.21,0.0,1576.91,236.81
Student7,6434.0,4093.91,16760079.78,1246.44,10978.1,7205.54
Student8,495.32,435.49,189650.39,0.0,1356.82,390.53
Student9,894.36,1034.7,1070609.94,121.17,3309.52,534.47
