StudentID,Mean_Print_Key,Stdev_Print_Key,Variance_Print_Key,Min_Print_Key,Max_Print_Key,Median_Print_Key
Student1,1.25,1.16,1.36,0,3,1.0
Student10,2.75,3.2,10.21,0,8,1.0
Student11,1.75,4.95,24.5,0,14,0.0
Student12,2.62,4.03,16.27,0,10,0.5
Student13,0.25,0.71,0.5,0,2,0.0
Student14,0.12,0.35,0.13,0,1,0.0
Student15,3.0,5.83,34.0,0,17,0.5
Student16,1.88,2.03,4.12,0,6,1.0
Student17,1.12,2.1,4.41,0,6,0.0
Student18,6.0,11.33,128.29,1,34,2.0
Student19,2.0,1.85,3.43,0,5,1.5
Student2,3.5,2.0,4.0,0,6,3.5
Student20,4.5,5.24,27.43,0,15,2.0
Student21,4.62,4.6,21.13,0,13,3.0
Student22,3.75,4.74,22.5,0,14,2.0
Student23,2.75,4.68,21.93,0,14,1.5
Student24,6.88,10.03,100.7,1,30,2.0
Student25,0.25,0.71,0.5,0,2,0.0
Student26,4.12,3.14,9.84,1,9,3.0
Student27,4.5,2.27,5.14,1,8,4.5
Student28,4.38,3.89,15.13,1,13,4.0
Student29,11.5,11.53,132.86,0,35,10.0
Student3,2.75,1.83,3.36,0,5,3.5
Student30,5.88,3.09,9.55,4,13,4.5
Student31,1.12,2.23,4.98,0,6,0.0
Student32,1.62,1.6,2.55,0,4,1.0
Student33,5.88,6.22,38.7,0,18,4.5
Student34,2.5,3.16,10.0,0,8,1.0
Student35,0.12,0.35,0.13,0,1,0.0
Student36,4.25,4.27,18.21,1,13,2.0
Student37,3.88,7.4,54.7,0,22,1.5
Student38,2.75,2.43,5.93,0,8,3.0
Student39,5.38,1.85,3.41,3,8,5.0
Student4,3.88,10.96,120.12,0,31,0.0
Student40,3.12,3.8,14.41,0,12,2.0
Student41,0.38,1.06,1.12,0,3,0.0
Student42,2.5,1.6,2.57,1,6,2.0
Student43,1.5,1.41,2.0,0,4,1.0
Student44,1.5,2.0,4.0,0,5,0.5
Student5,2.75,6.32,39.93,0,18,0.0
Student6,3.38,2.39,5.7,0,8,3.0
Student7,1.75,1.04,1.07,0,3,2.0
Student8,2.25,3.11,9.64,0,9,1.0
Student9,7.62,7.85,61.7,1,23,4.0
