,Student,Assignment,Space_Keys
0,Student1,Assign6,386
1,Student1,Assign7,146
2,Student1,Assign8,209
3,Student1,Assign9,43
4,Student1,Assign10,0
5,Student1,Assign11,0
6,Student1,Assign12,158
7,Student1,Assign13,132
8,Student2,Assign6,163
9,Student2,Assign7,181
10,Student2,Assign8,238
11,Student2,Assign9,8
12,Student2,Assign10,1
13,Student2,Assign11,27
14,Student2,Assign12,38
15,Student2,Assign13,0
16,Student3,Assign6,413
17,Student3,Assign7,425
18,Student3,Assign8,259
19,Student3,Assign9,251
20,Student3,Assign10,0
21,Student3,Assign11,79
22,Student3,Assign12,353
23,Student3,Assign13,30
24,Student4,Assign6,1046
25,Student4,Assign7,0
26,Student4,Assign8,0
27,Student4,Assign9,0
28,Student4,Assign10,0
29,Student4,Assign11,0
30,Student4,Assign12,0
31,Student4,Assign13,0
32,Student5,Assign6,0
33,Student5,Assign7,0
34,Student5,Assign8,0
35,Student5,Assign9,0
36,Student5,Assign10,0
37,Student5,Assign11,0
38,Student5,Assign12,464
39,Student5,Assign13,118
40,Student6,Assign6,289
41,Student6,Assign7,0
42,Student6,Assign8,158
43,Student6,Assign9,176
44,Student6,Assign10,101
45,Student6,Assign11,182
46,Student6,Assign12,142
47,Student6,Assign13,101
48,Student7,Assign6,595
49,Student7,Assign7,346
50,Student7,Assign8,225
51,Student7,Assign9,78
52,Student7,Assign10,8
53,Student7,Assign11,166
54,Student7,Assign12,766
55,Student7,Assign13,57
56,Student8,Assign6,815
57,Student8,Assign7,674
58,Student8,Assign8,453
59,Student8,Assign9,266
60,Student8,Assign10,69
61,Student8,Assign11,291
62,Student8,Assign12,706
63,Student8,Assign13,0
64,Student9,Assign6,540
65,Student9,Assign7,381
66,Student9,Assign8,199
67,Student9,Assign9,488
68,Student9,Assign10,0
69,Student9,Assign11,130
70,Student9,Assign12,187
71,Student9,Assign13,30
72,Student10,Assign6,401
73,Student10,Assign7,254
74,Student10,Assign8,296
75,Student10,Assign9,324
76,Student10,Assign10,430
77,Student10,Assign11,29
78,Student10,Assign12,379
79,Student10,Assign13,0
80,Student11,Assign6,113
81,Student11,Assign7,0
82,Student11,Assign8,0
83,Student11,Assign9,0
84,Student11,Assign10,0
85,Student11,Assign11,0
86,Student11,Assign12,0
87,Student11,Assign13,0
88,Student12,Assign6,704
89,Student12,Assign7,656
90,Student12,Assign8,0
91,Student12,Assign9,95
92,Student12,Assign10,69
93,Student12,Assign11,0
94,Student12,Assign12,472
95,Student12,Assign13,72
96,Student13,Assign6,291
97,Student13,Assign7,0
98,Student13,Assign8,0
99,Student13,Assign9,0
100,Student13,Assign10,0
101,Student13,Assign11,0
102,Student13,Assign12,0
103,Student13,Assign13,0
104,Student14,Assign6,218
105,Student14,Assign7,0
106,Student14,Assign8,0
107,Student14,Assign9,0
108,Student14,Assign10,0
109,Student14,Assign11,0
110,Student14,Assign12,0
111,Student14,Assign13,0
112,Student15,Assign6,390
113,Student15,Assign7,276
114,Student15,Assign8,206
115,Student15,Assign9,140
116,Student15,Assign10,0
117,Student15,Assign11,0
118,Student15,Assign12,0
119,Student15,Assign13,0
120,Student16,Assign6,678
121,Student16,Assign7,288
122,Student16,Assign8,324
123,Student16,Assign9,393
124,Student16,Assign10,92
125,Student16,Assign11,253
126,Student16,Assign12,869
127,Student16,Assign13,421
128,Student17,Assign6,0
129,Student17,Assign7,138
130,Student17,Assign8,211
131,Student17,Assign9,0
132,Student17,Assign10,0
133,Student17,Assign11,0
134,Student17,Assign12,0
135,Student17,Assign13,0
136,Student18,Assign6,285
137,Student18,Assign7,243
138,Student18,Assign8,18
139,Student18,Assign9,86
140,Student18,Assign10,0
141,Student18,Assign11,210
142,Student18,Assign12,0
143,Student18,Assign13,0
144,Student19,Assign6,309
145,Student19,Assign7,187
146,Student19,Assign8,229
147,Student19,Assign9,0
148,Student19,Assign10,168
149,Student19,Assign11,78
150,Student19,Assign12,357
151,Student19,Assign13,7
152,Student20,Assign6,502
153,Student20,Assign7,494
154,Student20,Assign8,63
155,Student20,Assign9,55
156,Student20,Assign10,3
157,Student20,Assign11,4
158,Student20,Assign12,0
159,Student20,Assign13,0
160,Student21,Assign6,717
161,Student21,Assign7,323
162,Student21,Assign8,368
163,Student21,Assign9,113
164,Student21,Assign10,41
165,Student21,Assign11,0
166,Student21,Assign12,410
167,Student21,Assign13,88
168,Student22,Assign6,1504
169,Student22,Assign7,746
170,Student22,Assign8,396
171,Student22,Assign9,522
172,Student22,Assign10,0
173,Student22,Assign11,347
174,Student22,Assign12,209
175,Student22,Assign13,0
176,Student23,Assign6,559
177,Student23,Assign7,263
178,Student23,Assign8,289
179,Student23,Assign9,216
180,Student23,Assign10,0
181,Student23,Assign11,115
182,Student23,Assign12,469
183,Student23,Assign13,0
184,Student24,Assign6,926
185,Student24,Assign7,385
186,Student24,Assign8,379
187,Student24,Assign9,122
188,Student24,Assign10,0
189,Student24,Assign11,115
190,Student24,Assign12,821
191,Student24,Assign13,293
192,Student25,Assign6,60
193,Student25,Assign7,0
194,Student25,Assign8,0
195,Student25,Assign9,0
196,Student25,Assign10,0
197,Student25,Assign11,0
198,Student25,Assign12,0
199,Student25,Assign13,0
200,Student26,Assign6,666
201,Student26,Assign7,849
202,Student26,Assign8,170
203,Student26,Assign9,555
204,Student26,Assign10,3
205,Student26,Assign11,92
206,Student26,Assign12,343
207,Student26,Assign13,142
208,Student27,Assign6,380
209,Student27,Assign7,314
210,Student27,Assign8,238
211,Student27,Assign9,134
212,Student27,Assign10,3
213,Student27,Assign11,65
214,Student27,Assign12,89
215,Student27,Assign13,140
216,Student28,Assign6,344
217,Student28,Assign7,294
218,Student28,Assign8,211
219,Student28,Assign9,248
220,Student28,Assign10,14
221,Student28,Assign11,81
222,Student28,Assign12,396
223,Student28,Assign13,100
224,Student29,Assign6,650
225,Student29,Assign7,0
226,Student29,Assign8,398
227,Student29,Assign9,0
228,Student29,Assign10,0
229,Student29,Assign11,63
230,Student29,Assign12,224
231,Student29,Assign13,7
232,Student30,Assign6,934
233,Student30,Assign7,683
234,Student30,Assign8,325
235,Student30,Assign9,302
236,Student30,Assign10,208
237,Student30,Assign11,168
238,Student30,Assign12,443
239,Student30,Assign13,55
240,Student31,Assign6,391
241,Student31,Assign7,156
242,Student31,Assign8,0
243,Student31,Assign9,0
244,Student31,Assign10,0
245,Student31,Assign11,0
246,Student31,Assign12,0
247,Student31,Assign13,0
248,Student32,Assign6,744
249,Student32,Assign7,464
250,Student32,Assign8,195
251,Student32,Assign9,187
252,Student32,Assign10,1
253,Student32,Assign11,47
254,Student32,Assign12,131
255,Student32,Assign13,0
256,Student33,Assign6,334
257,Student33,Assign7,98
258,Student33,Assign8,142
259,Student33,Assign9,91
260,Student33,Assign10,75
261,Student33,Assign11,43
262,Student33,Assign12,314
263,Student33,Assign13,0
264,Student34,Assign6,360
265,Student34,Assign7,264
266,Student34,Assign8,248
267,Student34,Assign9,76
268,Student34,Assign10,0
269,Student34,Assign11,104
270,Student34,Assign12,192
271,Student34,Assign13,0
272,Student35,Assign6,504
273,Student35,Assign7,0
274,Student35,Assign8,0
275,Student35,Assign9,0
276,Student35,Assign10,0
277,Student35,Assign11,0
278,Student35,Assign12,0
279,Student35,Assign13,0
280,Student36,Assign6,449
281,Student36,Assign7,488
282,Student36,Assign8,239
283,Student36,Assign9,170
284,Student36,Assign10,1
285,Student36,Assign11,133
286,Student36,Assign12,130
287,Student36,Assign13,89
288,Student37,Assign6,560
289,Student37,Assign7,282
290,Student37,Assign8,172
291,Student37,Assign9,394
292,Student37,Assign10,272
293,Student37,Assign11,170
294,Student37,Assign12,0
295,Student37,Assign13,8
296,Student38,Assign6,651
297,Student38,Assign7,599
298,Student38,Assign8,438
299,Student38,Assign9,247
300,Student38,Assign10,0
301,Student38,Assign11,103
302,Student38,Assign12,0
303,Student38,Assign13,75
304,Student39,Assign6,716
305,Student39,Assign7,409
306,Student39,Assign8,413
307,Student39,Assign9,200
308,Student39,Assign10,38
309,Student39,Assign11,242
310,Student39,Assign12,497
311,Student39,Assign13,177
312,Student40,Assign6,797
313,Student40,Assign7,505
314,Student40,Assign8,408
315,Student40,Assign9,56
316,Student40,Assign10,0
317,Student40,Assign11,98
318,Student40,Assign12,507
319,Student40,Assign13,0
320,Student41,Assign6,206
321,Student41,Assign7,0
322,Student41,Assign8,0
323,Student41,Assign9,0
324,Student41,Assign10,0
325,Student41,Assign11,0
326,Student41,Assign12,0
327,Student41,Assign13,0
328,Student42,Assign6,502
329,Student42,Assign7,173
330,Student42,Assign8,268
331,Student42,Assign9,540
332,Student42,Assign10,472
333,Student42,Assign11,269
334,Student42,Assign12,588
335,Student42,Assign13,301
336,Student43,Assign6,679
337,Student43,Assign7,534
338,Student43,Assign8,613
339,Student43,Assign9,323
340,Student43,Assign10,0
341,Student43,Assign11,94
342,Student43,Assign12,293
343,Student43,Assign13,211
344,Student44,Assign6,462
345,Student44,Assign7,462
346,Student44,Assign8,232
347,Student44,Assign9,124
348,Student44,Assign10,2
349,Student44,Assign11,149
350,Student44,Assign12,186
351,Student44,Assign13,0
